Date,Opponent,Princeton,Opponent,Description,W/L/T,H/A/N
10/9/1954,Penn,13,7,10/9/1954 Princeton: 13 / Penn: 7,W,H
10/16/1954,Brown,20,21,10/16/1954 Princeton: 20 / Brown: 21,L,A
10/23/1954,Cornell,0,27,10/23/1954 Princeton: 0 / Cornell: 27,L,H
10/30/1954,Colgate,6,6,10/30/1954 Princeton: 6 / Colgate: 6,T,H
11/6/1954,Harvard,9,14,11/6/1954 Princeton: 9 / Harvard: 14,L,H
11/13/1954,Yale,21,14,11/13/1954 Princeton: 21 / Yale: 14,W,A
11/20/1954,Dartmouth,49,7,11/20/1954 Princeton: 49 / Dartmouth: 7,W,H
9/24/1955,Rutgers,41,7,9/24/1955 Princeton: 41 / Rutgers: 7,W,H
10/1/1955,Columbia,20,7,10/1/1955 Princeton: 20 / Columbia: 7,W,H
10/8/1955,Penn,7,0,10/8/1955 Princeton: 7 / Penn: 0,W,A
10/15/1955,Colgate,6,15,10/15/1955 Princeton: 6 / Colgate: 15,L,H
10/22/1955,Cornell,26,20,10/22/1955 Princeton: 26 / Cornell: 20,W,H
10/29/1955,Brown,14,7,10/29/1955 Princeton: 14 / Brown: 7,W,H
11/5/1955,Harvard,6,7,11/5/1955 Princeton: 6 / Harvard: 7,L,A
11/12/1955,Yale,13,0,11/12/1955 Princeton: 13 / Yale: 0,W,H
11/19/1955,Dartmouth,6,3,11/19/1955 Princeton: 6 / Dartmouth: 3,W,H
9/29/1956,Rutgers,28,6,9/29/1956 Princeton: 28 / Rutgers: 6,W,H
10/6/1956,Columbia,39,0,10/6/1956 Princeton: 39 / Columbia: 0,W,H
10/13/1956,Penn,34,0,10/13/1956 Princeton: 34 / Penn: 0,W,A
10/20/1956,Colgate,28,20,10/20/1956 Princeton: 28 / Colgate: 20,W,H
10/27/1956,Cornell,32,21,10/27/1956 Princeton: 32 / Cornell: 21,W,A
11/3/1956,Brown,21,7,11/3/1956 Princeton: 21 / Brown: 7,W,H
11/10/1956,Harvard,35,20,11/10/1956 Princeton: 35 / Harvard: 20,W,H
11/17/1956,Yale,20,42,11/17/1956 Princeton: 20 / Yale: 42,L,A
11/24/1956,Dartmouth,0,19,11/24/1956 Princeton: 0 / Dartmouth: 19,L,H
9/28/1957,Rutgers,7,0,9/28/1957 Princeton: 7 / Rutgers: 0,W,H
10/5/1957,Columbia,47,6,10/5/1957 Princeton: 47 / Columbia: 6,W,A
10/12/1957,Penn,13,9,10/12/1957 Princeton: 13 / Penn: 9,W,H
10/19/1957,Colgate,10,12,10/19/1957 Princeton: 10 / Colgate: 12,L,H
10/26/1957,Cornell,47,14,10/26/1957 Princeton: 47 / Cornell: 14,W,H
11/2/1957,Brown,7,0,11/2/1957 Princeton: 7 / Brown: 0,W,A
11/9/1957,Harvard,28,20,11/9/1957 Princeton: 28 / Harvard: 20,W,A
11/16/1957,Yale,13,20,11/16/1957 Princeton: 13 / Yale: 20,L,H
11/23/1957,Dartmouth,34,14,11/23/1957 Princeton: 34 / Dartmouth: 14,W,H
9/27/1958,Rutgers,0,28,9/27/1958 Princeton: 0 / Rutgers: 28,L,H
10/4/1958,Columbia,43,8,10/4/1958 Princeton: 43 / Columbia: 8,W,H
10/11/1958,Penn,20,14,10/11/1958 Princeton: 20 / Penn: 14,W,A
10/18/1958,Colgate,40,13,10/18/1958 Princeton: 40 / Colgate: 13,W,H
10/25/1958,Cornell,8,34,10/25/1958 Princeton: 8 / Cornell: 34,L,A
11/1/1958,Brown,28,18,11/1/1958 Princeton: 28 / Brown: 18,W,H
11/8/1958,Harvard,16,14,11/8/1958 Princeton: 16 / Harvard: 14,W,H
11/15/1958,Yale,50,14,11/15/1958 Princeton: 50 / Yale: 14,W,A
11/22/1958,Dartmouth,12,21,11/22/1958 Princeton: 12 / Dartmouth: 21,L,H
9/26/1959,Rutgers,6,8,9/26/1959 Princeton: 6 / Rutgers: 8,L,H
10/3/1959,Columbia,22,0,10/3/1959 Princeton: 22 / Columbia: 0,W,A
10/10/1959,Penn,0,18,10/10/1959 Princeton: 0 / Penn: 18,L,H
10/17/1959,Colgate,42,7,10/17/1959 Princeton: 42 / Colgate: 7,W,H
10/24/1959,Cornell,20,0,10/24/1959 Princeton: 20 / Cornell: 0,W,H
10/31/1959,Brown,7,0,10/31/1959 Princeton: 7 / Brown: 0,W,H
11/7/1959,Harvard,0,14,11/7/1959 Princeton: 0 / Harvard: 14,L,A
11/14/1959,Yale,20,38,11/14/1959 Princeton: 20 / Yale: 38,L,H
11/21/1959,Dartmouth,7,12,11/21/1959 Princeton: 7 / Dartmouth: 12,L,H
9/24/1960,Rutgers,8,13,9/24/1960 Princeton: 8 / Rutgers: 13,L,H
10/1/1960,Columbia,49,0,10/1/1960 Princeton: 49 / Columbia: 0,W,H
10/8/1960,Penn,21,0,10/8/1960 Princeton: 21 / Penn: 0,W,A
10/15/1960,Colgate,36,26,10/15/1960 Princeton: 36 / Colgate: 26,W,H
10/22/1960,Cornell,21,18,10/22/1960 Princeton: 21 / Cornell: 18,W,A
10/29/1960,Brown,54,21,10/29/1960 Princeton: 54 / Brown: 21,W,H
11/5/1960,Harvard,14,12,11/5/1960 Princeton: 14 / Harvard: 12,W,H
11/12/1960,Yale,22,43,11/12/1960 Princeton: 22 / Yale: 43,L,A
11/19/1960,Dartmouth,7,0,11/19/1960 Princeton: 7 / Dartmouth: 0,W,H
9/30/1961,Rutgers,13,16,9/30/1961 Princeton: 13 / Rutgers: 16,L,H
10/7/1961,Columbia,30,20,10/7/1961 Princeton: 30 / Columbia: 20,W,A
10/14/1961,Penn,9,3,10/14/1961 Princeton: 9 / Penn: 3,W,H
10/21/1961,Colgate,0,15,10/21/1961 Princeton: 0 / Colgate: 15,L,H
10/28/1961,Cornell,30,25,10/28/1961 Princeton: 30 / Cornell: 25,W,H
11/4/1961,Brown,52,0,11/4/1961 Princeton: 52 / Brown: 0,W,A
11/11/1961,Harvard,7,9,11/11/1961 Princeton: 7 / Harvard: 9,L,A
11/18/1961,Yale,26,16,11/18/1961 Princeton: 26 / Yale: 16,W,H
11/25/1961,Dartmouth,6,24,11/25/1961 Princeton: 6 / Dartmouth: 24,L,H
9/29/1962,Rutgers,15,7,9/29/1962 Princeton: 15 / Rutgers: 7,W,H
10/6/1962,Columbia,33,0,10/6/1962 Princeton: 33 / Columbia: 0,W,H
10/13/1962,Penn,21,8,10/13/1962 Princeton: 21 / Penn: 8,W,A
10/20/1962,Colgate,15,16,10/20/1962 Princeton: 15 / Colgate: 16,L,H
10/27/1962,Cornell,34,35,10/27/1962 Princeton: 34 / Cornell: 35,L,A
11/3/1962,Brown,28,12,11/3/1962 Princeton: 28 / Brown: 12,W,H
11/10/1962,Harvard,0,20,11/10/1962 Princeton: 0 / Harvard: 20,L,H
11/17/1962,Yale,14,10,11/17/1962 Princeton: 14 / Yale: 10,W,A
11/24/1962,Dartmouth,27,38,11/24/1962 Princeton: 27 / Dartmouth: 38,L,H
9/28/1963,Rutgers,24,0,9/28/1963 Princeton: 24 / Rutgers: 0,W,H
10/5/1963,Columbia,7,6,10/5/1963 Princeton: 7 / Columbia: 6,W,A
10/12/1963,Penn,34,0,10/12/1963 Princeton: 34 / Penn: 0,W,H
10/19/1963,Colgate,42,0,10/19/1963 Princeton: 42 / Colgate: 0,W,H
10/26/1963,Cornell,51,14,10/26/1963 Princeton: 51 / Cornell: 14,W,H
11/2/1963,Brown,34,13,11/2/1963 Princeton: 34 / Brown: 13,W,H
11/9/1963,Harvard,7,21,11/9/1963 Princeton: 7 / Harvard: 21,L,A
11/16/1963,Yale,27,7,11/16/1963 Princeton: 27 / Yale: 7,W,H
11/30/1963,Dartmouth,21,22,11/30/1963 Princeton: 21 / Dartmouth: 22,L,H
9/26/1964,Rutgers,10,7,9/26/1964 Princeton: 10 / Rutgers: 7,W,H
10/3/1964,Columbia,23,13,10/3/1964 Princeton: 23 / Columbia: 13,W,H
10/10/1964,Dartmouth,37,7,10/10/1964 Princeton: 37 / Dartmouth: 7,W,A
10/17/1964,Colgate,9,0,10/17/1964 Princeton: 9 / Colgate: 0,W,H
10/24/1964,Penn,55,0,10/24/1964 Princeton: 55 / Penn: 0,W,A
10/31/1964,Brown,14,0,10/31/1964 Princeton: 14 / Brown: 0,W,A
11/7/1964,Harvard,16,0,11/7/1964 Princeton: 16 / Harvard: 0,W,H
11/14/1964,Yale,35,14,11/14/1964 Princeton: 35 / Yale: 14,W,A
11/21/1964,Cornell,17,12,11/21/1964 Princeton: 17 / Cornell: 12,W,H
9/25/1965,Rutgers,32,6,9/25/1965 Princeton: 32 / Rutgers: 6,W,H
10/2/1965,Columbia,31,0,10/2/1965 Princeton: 31 / Columbia: 0,W,A
10/9/1965,Cornell,36,27,10/9/1965 Princeton: 36 / Cornell: 27,W,A
10/16/1965,Colgate,27,0,10/16/1965 Princeton: 27 / Colgate: 0,W,H
10/23/1965,Penn,51,0,10/23/1965 Princeton: 51 / Penn: 0,W,H
10/30/1965,Brown,45,27,10/30/1965 Princeton: 45 / Brown: 27,W,H
11/6/1965,Harvard,14,6,11/6/1965 Princeton: 14 / Harvard: 6,W,A
11/13/1965,Yale,31,6,11/13/1965 Princeton: 31 / Yale: 6,W,H
11/20/1965,Dartmouth,14,28,11/20/1965 Princeton: 14 / Dartmouth: 28,L,H
9/24/1966,Rutgers,16,12,9/24/1966 Princeton: 16 / Rutgers: 12,W,H
10/1/1966,Columbia,14,12,10/1/1966 Princeton: 14 / Columbia: 12,W,H
10/8/1966,Dartmouth,13,31,10/8/1966 Princeton: 13 / Dartmouth: 31,L,A
10/15/1966,Colgate,0,7,10/15/1966 Princeton: 0 / Colgate: 7,L,H
10/22/1966,Penn,30,13,10/22/1966 Princeton: 30 / Penn: 13,W,A
10/29/1966,Brown,24,7,10/29/1966 Princeton: 24 / Brown: 7,W,A
11/5/1966,Harvard,18,14,11/5/1966 Princeton: 18 / Harvard: 14,W,H
11/12/1966,Yale,13,7,11/12/1966 Princeton: 13 / Yale: 7,W,A
11/19/1966,Cornell,7,0,11/19/1966 Princeton: 7 / Cornell: 0,W,H
9/30/1967,Rutgers,22,21,9/30/1967 Princeton: 22 / Rutgers: 21,W,H
10/7/1967,Columbia,28,14,10/7/1967 Princeton: 28 / Columbia: 14,W,A
10/14/1967,Cornell,13,47,10/14/1967 Princeton: 13 / Cornell: 47,L,A
10/21/1967,Colgate,28,0,10/21/1967 Princeton: 28 / Colgate: 0,W,H
10/28/1967,Penn,28,14,10/28/1967 Princeton: 28 / Penn: 14,W,H
11/4/1967,Brown,48,14,11/4/1967 Princeton: 48 / Brown: 14,W,H
11/11/1967,Harvard,45,6,11/11/1967 Princeton: 45 / Harvard: 6,W,A
11/18/1967,Yale,7,29,11/18/1967 Princeton: 7 / Yale: 29,L,H
11/25/1967,Dartmouth,14,17,11/25/1967 Princeton: 14 / Dartmouth: 17,L,H
9/28/1968,Rutgers,14,20,9/28/1968 Princeton: 14 / Rutgers: 20,L,H
10/5/1968,Columbia,44,16,10/5/1968 Princeton: 44 / Columbia: 16,W,H
10/12/1968,Dartmouth,34,7,10/12/1968 Princeton: 34 / Dartmouth: 7,W,A
10/19/1968,Colgate,7,14,10/19/1968 Princeton: 7 / Colgate: 14,L,H
10/26/1968,Penn,14,19,10/26/1968 Princeton: 14 / Penn: 19,L,A
11/2/1968,Brown,50,7,11/2/1968 Princeton: 50 / Brown: 7,W,A
11/9/1968,Harvard,7,9,11/9/1968 Princeton: 7 / Harvard: 9,L,H
11/16/1968,Yale,17,42,11/16/1968 Princeton: 17 / Yale: 42,L,A
11/23/1968,Cornell,41,13,11/23/1968 Princeton: 41 / Cornell: 13,W,H
9/27/1969,Rutgers,0,29,9/27/1969 Princeton: 0 / Rutgers: 29,L,A
10/4/1969,Columbia,21,7,10/4/1969 Princeton: 21 / Columbia: 7,W,A
10/11/1969,Cornell,24,17,10/11/1969 Princeton: 24 / Cornell: 17,W,A
10/18/1969,Colgate,28,35,10/18/1969 Princeton: 28 / Colgate: 35,L,H
10/25/1969,Penn,42,0,10/25/1969 Princeton: 42 / Penn: 0,W,H
11/1/1969,Brown,33,6,11/1/1969 Princeton: 33 / Brown: 6,W,H
11/8/1969,Harvard,51,20,11/8/1969 Princeton: 51 / Harvard: 20,W,A
11/15/1969,Yale,14,17,11/15/1969 Princeton: 14 / Yale: 17,L,H
11/22/1969,Dartmouth,35,7,11/22/1969 Princeton: 35 / Dartmouth: 7,W,H
9/26/1970,Rutgers,41,14,9/26/1970 Princeton: 41 / Rutgers: 14,W,H
10/3/1970,Columbia,24,22,10/3/1970 Princeton: 24 / Columbia: 22,W,H
10/10/1970,Dartmouth,0,38,10/10/1970 Princeton: 0 / Dartmouth: 38,L,A
10/17/1970,Colgate,34,14,10/17/1970 Princeton: 34 / Colgate: 14,W,H
10/24/1970,Penn,22,16,10/24/1970 Princeton: 22 / Penn: 16,W,A
10/31/1970,Brown,45,14,10/31/1970 Princeton: 45 / Brown: 14,W,A
11/7/1970,Harvard,7,29,11/7/1970 Princeton: 7 / Harvard: 29,L,H
11/14/1970,Yale,22,27,11/14/1970 Princeton: 22 / Yale: 27,L,A
11/21/1970,Cornell,3,6,11/21/1970 Princeton: 3 / Cornell: 6,L,H
9/25/1971,Rutgers,18,33,9/25/1971 Princeton: 18 / Rutgers: 33,L,H
10/2/1971,Columbia,20,22,10/2/1971 Princeton: 20 / Columbia: 22,L,A
10/9/1971,Cornell,8,19,10/9/1971 Princeton: 8 / Cornell: 19,L,A
10/16/1971,Colgate,35,12,10/16/1971 Princeton: 35 / Colgate: 12,W,H
10/23/1971,Penn,31,0,10/23/1971 Princeton: 31 / Penn: 0,W,H
10/30/1971,Brown,49,21,10/30/1971 Princeton: 49 / Brown: 21,W,H
11/6/1971,Harvard,21,10,11/6/1971 Princeton: 21 / Harvard: 10,W,A
11/13/1971,Yale,6,10,11/13/1971 Princeton: 6 / Yale: 10,L,H
11/20/1971,Dartmouth,7,33,11/20/1971 Princeton: 7 / Dartmouth: 33,L,H
9/30/1972,Rutgers,7,6,9/30/1972 Princeton: 7 / Rutgers: 6,W,H
10/7/1972,Columbia,0,0,10/7/1972 Princeton: 0 / Columbia: 0,T,H
10/14/1972,Dartmouth,14,35,10/14/1972 Princeton: 14 / Dartmouth: 35,L,A
10/21/1972,Colgate,26,35,10/21/1972 Princeton: 26 / Colgate: 35,L,H
10/28/1972,Penn,10,15,10/28/1972 Princeton: 10 / Penn: 15,L,A
11/4/1972,Brown,31,10,11/4/1972 Princeton: 31 / Brown: 10,W,A
11/11/1972,Harvard,10,7,11/11/1972 Princeton: 10 / Harvard: 7,W,H
11/18/1972,Yale,7,31,11/18/1972 Princeton: 7 / Yale: 31,L,A
11/25/1972,Cornell,15,22,11/25/1972 Princeton: 15 / Cornell: 22,L,H
9/29/1973,Rutgers,14,39,9/29/1973 Princeton: 14 / Rutgers: 39,L,H
10/6/1973,Columbia,13,14,10/6/1973 Princeton: 13 / Columbia: 14,L,A
10/13/1973,Cornell,6,37,10/13/1973 Princeton: 6 / Cornell: 37,L,A
10/20/1973,Colgate,37,21,10/20/1973 Princeton: 37 / Colgate: 21,W,H
10/27/1973,Penn,0,24,10/27/1973 Princeton: 0 / Penn: 24,L,H
11/3/1973,Brown,6,7,11/3/1973 Princeton: 6 / Brown: 7,L,H
11/10/1973,Harvard,14,19,11/10/1973 Princeton: 14 / Harvard: 19,L,A
11/17/1973,Yale,13,30,11/17/1973 Princeton: 13 / Yale: 30,L,H
11/24/1973,Dartmouth,24,42,11/24/1973 Princeton: 24 / Dartmouth: 42,L,H
9/28/1974,Rutgers,6,6,9/28/1974 Princeton: 6 / Rutgers: 6,T,H
10/5/1974,Columbia,40,13,10/5/1974 Princeton: 40 / Columbia: 13,W,H
10/12/1974,Dartmouth,14,7,10/12/1974 Princeton: 14 / Dartmouth: 7,W,A
10/19/1974,Colgate,33,24,10/19/1974 Princeton: 33 / Colgate: 24,W,H
10/26/1974,Penn,18,20,10/26/1974 Princeton: 18 / Penn: 20,L,A
11/2/1974,Brown,13,17,11/2/1974 Princeton: 13 / Brown: 17,L,A
11/9/1974,Harvard,17,34,11/9/1974 Princeton: 17 / Harvard: 34,L,H
11/16/1974,Yale,6,19,11/16/1974 Princeton: 6 / Yale: 19,L,A
11/23/1974,Cornell,41,20,11/23/1974 Princeton: 41 / Cornell: 20,W,H
9/27/1975,Rutgers,10,7,9/27/1975 Princeton: 10 / Rutgers: 7,W,H
10/4/1975,Columbia,27,7,10/4/1975 Princeton: 27 / Columbia: 7,W,A
10/11/1975,Cornell,16,8,10/11/1975 Princeton: 16 / Cornell: 8,W,A
10/18/1975,Colgate,21,22,10/18/1975 Princeton: 21 / Colgate: 22,L,H
10/25/1975,Penn,20,24,10/25/1975 Princeton: 20 / Penn: 24,L,H
11/1/1975,Brown,16,24,11/1/1975 Princeton: 16 / Brown: 24,L,H
11/8/1975,Harvard,24,20,11/8/1975 Princeton: 24 / Harvard: 20,W,A
11/15/1975,Yale,13,24,11/15/1975 Princeton: 13 / Yale: 24,L,H
11/22/1975,Dartmouth,16,21,11/22/1975 Princeton: 16 / Dartmouth: 21,L,H
9/18/1976,Cornell,3,0,9/18/1976 Princeton: 3 / Cornell: 0,W,A
9/25/1976,Rutgers,0,17,9/25/1976 Princeton: 0 / Rutgers: 17,L,H
10/2/1976,Brown,7,13,10/2/1976 Princeton: 7 / Brown: 13,L,H
10/9/1976,Columbia,9,6,10/9/1976 Princeton: 9 / Columbia: 6,W,A
10/16/1976,Colgate,7,17,10/16/1976 Princeton: 7 / Colgate: 17,L,H
10/23/1976,Harvard,14,20,10/23/1976 Princeton: 14 / Harvard: 20,L,H
10/30/1976,Penn,9,10,10/30/1976 Princeton: 9 / Penn: 10,L,H
11/6/1976,Yale,7,39,11/6/1976 Princeton: 7 / Yale: 39,L,A
11/13/1976,Dartmouth,7,33,11/13/1976 Princeton: 7 / Dartmouth: 33,L,H
9/17/1977,Dartmouth,11,14,9/17/1977 Princeton: 11 / Dartmouth: 14,L,A
9/24/1977,Rutgers,6,10,9/24/1977 Princeton: 6 / Rutgers: 10,L,H
10/1/1977,Brown,7,10,10/1/1977 Princeton: 7 / Brown: 10,L,A
10/8/1977,Columbia,28,7,10/8/1977 Princeton: 28 / Columbia: 7,W,H
10/15/1977,Colgate,13,31,10/15/1977 Princeton: 13 / Colgate: 31,L,H
10/22/1977,Harvard,20,7,10/22/1977 Princeton: 20 / Harvard: 7,W,A
10/29/1977,Penn,10,21,10/29/1977 Princeton: 10 / Penn: 21,L,A
11/5/1977,Yale,8,44,11/5/1977 Princeton: 8 / Yale: 44,L,H
11/12/1977,Cornell,34,0,11/12/1977 Princeton: 34 / Cornell: 0,W,H
9/23/1978,Cornell,14,14,9/23/1978 Princeton: 14 / Cornell: 14,T,A
9/30/1978,Rutgers,0,24,9/30/1978 Princeton: 0 / Rutgers: 24,L,A
10/7/1978,Brown,16,44,10/7/1978 Princeton: 16 / Brown: 44,L,H
10/14/1978,Columbia,10,14,10/14/1978 Princeton: 10 / Columbia: 14,L,A
10/21/1978,Colgate,13,12,10/21/1978 Princeton: 13 / Colgate: 12,W,H
10/28/1978,Harvard,24,24,10/28/1978 Princeton: 24 / Harvard: 24,T,H
11/4/1978,Penn,21,0,11/4/1978 Princeton: 21 / Penn: 0,W,H
11/11/1978,Yale,7,23,11/11/1978 Princeton: 7 / Yale: 23,L,A
11/18/1978,Dartmouth,21,28,11/18/1978 Princeton: 21 / Dartmouth: 28,L,H
9/22/1979,Dartmouth,16,0,9/22/1979 Princeton: 16 / Dartmouth: 0,W,A
9/29/1979,Rutgers,14,38,9/29/1979 Princeton: 14 / Rutgers: 38,L,H
10/6/1979,Brown,12,31,10/6/1979 Princeton: 12 / Brown: 31,L,A
10/13/1979,Columbia,35,0,10/13/1979 Princeton: 35 / Columbia: 0,W,H
10/20/1979,Colgate,6,17,10/20/1979 Princeton: 6 / Colgate: 17,L,H
10/27/1979,Harvard,9,7,10/27/1979 Princeton: 9 / Harvard: 7,W,A
11/3/1979,Penn,38,10,11/3/1979 Princeton: 38 / Penn: 10,W,A
11/10/1979,Yale,10,35,11/10/1979 Princeton: 10 / Yale: 35,L,H
11/17/1979,Cornell,26,14,11/17/1979 Princeton: 26 / Cornell: 14,W,H
9/20/1980,Cornell,7,17,9/20/1980 Princeton: 7 / Cornell: 17,L,A
9/27/1980,Rutgers,13,44,9/27/1980 Princeton: 13 / Rutgers: 44,L,A
10/4/1980,Brown,11,28,10/4/1980 Princeton: 11 / Brown: 28,L,H
10/11/1980,Columbia,31,19,10/11/1980 Princeton: 31 / Columbia: 19,W,A
10/18/1980,Colgate,14,10,10/18/1980 Princeton: 14 / Colgate: 10,W,H
10/25/1980,Harvard,7,3,10/25/1980 Princeton: 7 / Harvard: 3,W,H
11/1/1980,Penn,28,21,11/1/1980 Princeton: 28 / Penn: 21,W,H
11/8/1980,Maine,24,7,11/8/1980 Princeton: 24 / Maine: 7,W,H
11/15/1980,Yale,13,25,11/15/1980 Princeton: 13 / Yale: 25,L,A
11/22/1980,Dartmouth,27,24,11/22/1980 Princeton: 27 / Dartmouth: 24,W,H
9/19/1981,Dartmouth,13,32,9/19/1981 Princeton: 13 / Dartmouth: 32,L,A
9/26/1981,Delaware,8,61,9/26/1981 Princeton: 8 / Delaware: 61,L,A
10/3/1981,Brown,20,17,10/3/1981 Princeton: 20 / Brown: 17,W,A
10/10/1981,Columbia,21,14,10/10/1981 Princeton: 21 / Columbia: 14,W,H
10/17/1981,Army,0,34,10/17/1981 Princeton: 0 / Army: 34,L,A
10/24/1981,Harvard,17,17,10/24/1981 Princeton: 17 / Harvard: 17,T,A
10/31/1981,Penn,38,30,10/31/1981 Princeton: 38 / Penn: 30,W,A
11/7/1981,Maine,44,55,11/7/1981 Princeton: 44 / Maine: 55,L,H
11/14/1981,Yale,35,31,11/14/1981 Princeton: 35 / Yale: 31,W,H
11/21/1981,Cornell,37,14,11/21/1981 Princeton: 37 / Cornell: 14,W,H
9/18/1982,Cornell,41,36,9/18/1982 Princeton: 41 / Cornell: 36,W,A
9/25/1982,Delaware,17,35,9/25/1982 Princeton: 17 / Delaware: 35,L,A
10/2/1982,Brown,28,23,10/2/1982 Princeton: 28 / Brown: 23,W,H
10/9/1982,Columbia,14,35,10/9/1982 Princeton: 14 / Columbia: 35,L,A
10/16/1982,Army,14,20,10/16/1982 Princeton: 14 / Army: 20,L,H
10/23/1982,Harvard,15,27,10/23/1982 Princeton: 15 / Harvard: 27,L,H
10/30/1982,Penn,17,14,10/30/1982 Princeton: 17 / Penn: 14,W,H
11/6/1982,Lafayette,37,47,11/6/1982 Princeton: 37 / Lafayette: 47,L,H
11/13/1982,Yale,19,37,11/13/1982 Princeton: 19 / Yale: 37,L,A
11/20/1982,Dartmouth,20,34,11/20/1982 Princeton: 20 / Dartmouth: 34,L,H
9/17/1983,Dartmouth,3,21,9/17/1983 Princeton: 3 / Dartmouth: 21,L,A
9/24/1983,Bucknell,46,28,9/24/1983 Princeton: 46 / Bucknell: 28,W,H
10/1/1983,Brown,27,16,10/1/1983 Princeton: 27 / Brown: 16,W,A
10/8/1983,Columbia,35,26,10/8/1983 Princeton: 35 / Columbia: 26,W,H
10/15/1983,Navy,29,37,10/15/1983 Princeton: 29 / Navy: 37,L,H
10/22/1983,Harvard,26,28,10/22/1983 Princeton: 26 / Harvard: 28,L,A
10/29/1983,Penn,27,28,10/29/1983 Princeton: 27 / Penn: 28,L,A
11/5/1983,Lafayette,41,33,11/5/1983 Princeton: 41 / Lafayette: 33,W,H
11/12/1983,Yale,21,28,11/12/1983 Princeton: 21 / Yale: 28,L,H
11/19/1983,Cornell,30,32,11/19/1983 Princeton: 30 / Cornell: 32,L,H
9/22/1984,Cornell,17,9,9/22/1984 Princeton: 17 / Cornell: 9,W,A
9/29/1984,Bucknell,20,14,9/29/1984 Princeton: 20 / Bucknell: 14,W,H
10/6/1984,Brown,30,32,10/6/1984 Princeton: 30 / Brown: 32,L,H
10/13/1984,Columbia,38,8,10/13/1984 Princeton: 38 / Columbia: 8,W,A
10/20/1984,Navy,3,41,10/20/1984 Princeton: 3 / Navy: 41,L,A
10/27/1984,Harvard,15,17,10/27/1984 Princeton: 15 / Harvard: 17,L,H
11/3/1984,Penn,17,27,11/3/1984 Princeton: 17 / Penn: 27,L,H
11/10/1984,Yale,24,27,11/10/1984 Princeton: 24 / Yale: 27,L,A
11/17/1984,Dartmouth,21,17,11/17/1984 Princeton: 21 / Dartmouth: 17,W,H
9/21/1985,Dartmouth,10,3,9/21/1985 Princeton: 10 / Dartmouth: 3,W,A
9/28/1985,Lehigh,13,34,9/28/1985 Princeton: 13 / Lehigh: 34,L,H
10/5/1985,Brown,0,17,10/5/1985 Princeton: 0 / Brown: 17,L,A
10/12/1985,Columbia,31,0,10/12/1985 Princeton: 31 / Columbia: 0,W,H
10/19/1985,Colgate,44,49,10/19/1985 Princeton: 44 / Colgate: 49,L,H
10/26/1985,Harvard,11,6,10/26/1985 Princeton: 11 / Harvard: 6,W,A
11/2/1985,Penn,21,31,11/2/1985 Princeton: 21 / Penn: 31,L,A
11/9/1985,William & Mary,28,33,11/9/1985 Princeton: 28 / William & Mary: 33,L,H
11/16/1985,Yale,21,12,11/16/1985 Princeton: 21 / Yale: 12,W,H
11/23/1985,Cornell,33,27,11/23/1985 Princeton: 33 / Cornell: 27,W,H
9/20/1986,Cornell,8,39,9/20/1986 Princeton: 8 / Cornell: 39,L,A
9/27/1986,Northwestern,0,37,9/27/1986 Princeton: 0 / Northwestern: 37,L,H
10/4/1986,Brown,10,24,10/4/1986 Princeton: 10 / Brown: 24,L,H
10/11/1986,Columbia,20,14,10/11/1986 Princeton: 20 / Columbia: 14,W,A
10/18/1986,Lehigh,28,48,10/18/1986 Princeton: 28 / Lehigh: 48,L,A
10/25/1986,Harvard,14,3,10/25/1986 Princeton: 14 / Harvard: 3,W,H
11/1/1986,Penn,10,23,11/1/1986 Princeton: 10 / Penn: 23,L,H
11/8/1986,William & Mary,14,32,11/8/1986 Princeton: 14 / William & Mary: 32,L,A
11/15/1986,Yale,13,14,11/15/1986 Princeton: 13 / Yale: 14,L,A
11/22/1986,Dartmouth,6,28,11/22/1986 Princeton: 6 / Dartmouth: 28,L,H
9/19/1987,Dartmouth,34,3,9/19/1987 Princeton: 34 / Dartmouth: 3,W,A
9/26/1987,Davidson,42,6,9/26/1987 Princeton: 42 / Davidson: 6,W,A
10/3/1987,Brown,7,13,10/3/1987 Princeton: 7 / Brown: 13,L,A
10/10/1987,Columbia,38,8,10/10/1987 Princeton: 38 / Columbia: 8,W,H
10/17/1987,Lehigh,16,15,10/17/1987 Princeton: 16 / Lehigh: 15,W,H
10/24/1987,Harvard,19,24,10/24/1987 Princeton: 19 / Harvard: 24,L,A
10/31/1987,Penn,17,7,10/31/1987 Princeton: 17 / Penn: 7,W,A
11/7/1987,Colgate,15,39,11/7/1987 Princeton: 15 / Colgate: 39,L,H
11/14/1987,Yale,19,34,11/14/1987 Princeton: 19 / Yale: 34,L,H
11/21/1987,Cornell,23,6,11/21/1987 Princeton: 23 / Cornell: 6,W,H
9/17/1988,Cornell,26,17,9/17/1988 Princeton: 26 / Cornell: 17,W,A
9/24/1988,Holy Cross,26,30,9/24/1988 Princeton: 26 / Holy Cross: 30,L,H
10/1/1988,Brown,31,27,10/1/1988 Princeton: 31 / Brown: 27,W,H
10/8/1988,Columbia,13,16,10/8/1988 Princeton: 13 / Columbia: 16,L,A
10/15/1988,Bucknell,41,35,10/15/1988 Princeton: 41 / Bucknell: 35,W,A
10/22/1988,Harvard,23,8,10/22/1988 Princeton: 23 / Harvard: 8,W,H
